[#| 2020-10-14 22:20:37.894 | TRACE | Core-LanDevice | SrcIp=192.168.0.102:1800 -> DstIp=192.168.0.100:3802, HTTP, Rst=0 |#]
[#| 2020-10-14 22:20:37.894 | TRACE | Core-LanDevice | SrcIp=192.168.0.102:1800 -> DstIp=192.168.0.100:3802, HTTP, Rst=0 |#]
[#| 2020-10-14 22:20:38.018 | TRACE | Core-ResourceInfo | Начата попытка подключения к ресурсу: 192.168.0.102 |#]
[#| 2020-10-14 22:20:38.044 | TRACE | Core-ResourceInfo | С ресурса 192.168.0.102 получены данные о загрузке процессора: 0,0% |#]
[#| 2020-10-14 22:20:38.045 | TRACE | Core-ResourceInfo | Подключение к ресурсу 192.168.0.102 выполнено |#]
[#| 2020-10-14 22:20:38.073 | TRACE | Core-ResourceInfo | С ресурса 192.168.0.102 получены данные о памяти: Занято: 3,9Гб (23,1%) |#]
[#| 2020-10-14 22:20:38.368 | TRACE | Core-ResourceInfo | С ресурса 192.168.0.102 получены данные о загрузке процессора: 0,0% |#]
[#| 2020-10-14 22:20:38.454 | TRACE | Core-ResourceInfo | Начата попытка подключения к ресурсу: 192.168.0.100 |#]
[#| 2020-10-14 22:20:38.454 | TRACE | Core-ResourceInfo | Подключение к ресурсу 192.168.0.100 не выполнялось |#]
[#| 2020-10-14 22:20:38.465 | TRACE | Core-ResourceInfo | С ресурса 192.168.0.100 получены данные о памяти: Занято: 6,2Гб (50,1%) |#]
[#| 2020-10-14 22:20:38.764 | TRACE | Core-ResourceInfo | С ресурса 192.168.0.100 получены данные о загрузке процессора: 43,0% |#]
[#| 2020-10-14 22:20:39.044 | TRACE | Core-ResourceInfo | Начата попытка подключения к ресурсу: 192.168.0.102 |#]
[#| 2020-10-14 22:20:39.071 | TRACE | Core-ResourceInfo | Подключение к ресурсу 192.168.0.102 выполнено |#]
[#| 2020-10-14 22:20:39.099 | TRACE | Core-ResourceInfo | С ресурса 192.168.0.102 получены данные о памяти: Занято: 3,9Гб (23,1%) |#]
[#| 2020-10-14 22:20:39.369 | TRACE | Core-ResourceInfo | Начата попытка подключения к ресурсу: 192.168.0.102 |#]
[#| 2020-10-14 22:20:39.397 | TRACE | Core-ResourceInfo | С ресурса 192.168.0.102 получены данные о загрузке процессора: 0,0% |#]
[#| 2020-10-14 22:20:39.499 | TRACE | Core-ResourceInfo | Подключение к ресурсу 192.168.0.102 выполнено |#]
[#| 2020-10-14 22:20:39.533 | TRACE | Core-ResourceInfo | С ресурса 192.168.0.102 получены данные о памяти: Занято: 3,9Гб (23,1%) |#]
[#| 2020-10-14 22:20:39.694 | TRACE | Core-LanDevice | SrcIp=192.168.0.102:1800 -> DstIp=192.168.0.100:3802, HTTP, Rst=0 |#]
[#| 2020-10-14 22:20:39.701 | TRACE | Core-LanDevice | SrcIp=192.168.0.102:1800 -> DstIp=192.168.0.100:3802, HTTP, Rst=0 |#]
[#| 2020-10-14 22:20:39.764 | TRACE | Core-ResourceInfo | Начата попытка подключения к ресурсу: 192.168.0.100 |#]
[#| 2020-10-14 22:20:39.764 | TRACE | Core-ResourceInfo | Подключение к ресурсу 192.168.0.100 не выполнялось |#]
[#| 2020-10-14 22:20:39.773 | TRACE | Core-ResourceInfo | С ресурса 192.168.0.100 получены данные о памяти: Занято: 6,3Гб (50,2%) |#]
[#| 2020-10-14 22:20:39.823 | TRACE | Core-ResourceInfo | С ресурса 192.168.0.102 получены данные о загрузке процессора: 0,0% |#]
[#| 2020-10-14 22:20:39.949 | TRACE | Core-LanDevice | SrcIp=192.168.0.102:1800 -> DstIp=192.168.0.100:3802, HTTP, Rst=0 |#]
[#| 2020-10-14 22:20:40.060 | TRACE | Core-ResourceInfo | С ресурса 192.168.0.100 получены данные о загрузке процессора: 34,0% |#]
[#| 2020-10-14 22:20:40.397 | TRACE | Core-ResourceInfo | Начата попытка подключения к ресурсу: 192.168.0.102 |#]
[#| 2020-10-14 22:20:40.422 | TRACE | Core-ResourceInfo | Подключение к ресурсу 192.168.0.102 выполнено |#]
[#| 2020-10-14 22:20:40.458 | TRACE | Core-ResourceInfo | С ресурса 192.168.0.102 получены данные о памяти: Занято: 3,9Гб (23,1%) |#]
[#| 2020-10-14 22:20:40.761 | TRACE | Core-ResourceInfo | С ресурса 192.168.0.102 получены данные о загрузке процессора: 1,0% |#]
[#| 2020-10-14 22:20:40.823 | TRACE | Core-ResourceInfo | Начата попытка подключения к ресурсу: 192.168.0.102 |#]
[#| 2020-10-14 22:20:40.970 | TRACE | Core-ResourceInfo | Подключение к ресурсу 192.168.0.102 выполнено |#]
[#| 2020-10-14 22:20:41.030 | TRACE | Core-ResourceInfo | С ресурса 192.168.0.102 получены данные о памяти: Занято: 3,9Гб (23,1%) |#]
[#| 2020-10-14 22:20:41.060 | TRACE | Core-ResourceInfo | Начата попытка подключения к ресурсу: 192.168.0.100 |#]
[#| 2020-10-14 22:20:41.060 | TRACE | Core-ResourceInfo | Подключение к ресурсу 192.168.0.100 не выполнялось |#]
[#| 2020-10-14 22:20:41.070 | TRACE | Core-ResourceInfo | С ресурса 192.168.0.100 получены данные о памяти: Занято: 6,2Гб (50,0%) |#]
[#| 2020-10-14 22:20:41.329 | TRACE | Core-ResourceInfo | С ресурса 192.168.0.102 получены данные о загрузке процессора: 0,0% |#]
[#| 2020-10-14 22:20:41.343 | TRACE | Core-ResourceInfo | С ресурса 192.168.0.100 получены данные о загрузке процессора: 32,0% |#]
[#| 2020-10-14 22:22:19.566 | INFO | WCFService | Хост стартован... |#]
[#| 2020-10-14 22:22:21.892 | TRACE | Core-ResourceInfo | Начата попытка подключения к ресурсу: 192.168.0.102 |#]
[#| 2020-10-14 22:22:21.893 | ERROR | WCFService | При запуске ядра произошла ошибка:
System.InvalidOperationException: Нулевой объект должен иметь значение.
   в System.ThrowHelper.ThrowInvalidOperationException(ExceptionResource resource)
   в System.Nullable`1.get_Value()
   в ECMonitoring.Service.Core.ECMonitor..ctor(EndPoint endPoint, IStorage storage) в E:\Projects\Tolik\ECMonitoring\Code\Final\ECMonitoring\ECMonitoring.Service\Core\ECMonitor.cs:строка 39
   в ECMonitoring.Service.Core.Dispatcher.Start() в E:\Projects\Tolik\ECMonitoring\Code\Final\ECMonitoring\ECMonitoring.Service\Core\Dispatcher.cs:строка 57
   в ECMonitoring.Service.Forms.FormMain.<_mnuRun_Click>b__7_0() в E:\Projects\Tolik\ECMonitoring\Code\Final\ECMonitoring\ECMonitoring.Service\Forms\FormMain.cs:строка 133 |#]
[#| 2020-10-14 22:22:22.012 | TRACE | Core-ResourceInfo | Подключение к ресурсу 192.168.0.102 выполнено |#]
[#| 2020-10-14 22:27:55.625 | INFO | WCFService | Хост стартован... |#]
[#| 2020-10-14 22:27:57.937 | TRACE | Core-ResourceInfo | Начата попытка подключения к ресурсу: 192.168.0.102 |#]
[#| 2020-10-14 22:27:57.941 | ERROR | WCFService | При запуске ядра произошла ошибка:
System.InvalidOperationException: Нулевой объект должен иметь значение.
   в System.ThrowHelper.ThrowInvalidOperationException(ExceptionResource resource)
   в System.Nullable`1.get_Value()
   в ECMonitoring.Service.Core.ECMonitor..ctor(EndPoint endPoint, IStorage storage) в E:\Projects\Tolik\ECMonitoring\Code\Final\ECMonitoring\ECMonitoring.Service\Core\ECMonitor.cs:строка 39
